condition,metric,round_index,seed_count,observed_seed_count,missing_seed_count,mean,median,sample_standard_deviation,minimum,maximum
neutral,positive_affect_confidence,12,10,10,0,3.3,3.0,1.3374935098492586,1.0,5.0
neutral,positive_affect_confidence,13,10,10,0,2.3,2.0,1.2516655570345725,1.0,5.0
neutral,positive_affect_confidence,14,10,10,0,2.0,2.0,1.4907119849998598,0.0,5.0
neutral,positive_affect_confidence,15,10,10,0,2.2,2.0,1.6865480854231356,0.0,5.0
mesugaki,negative_emotion,1,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,negative_emotion,2,10,10,0,0.6,0.0,0.8432740427115678,0.0,2.0
mesugaki,negative_emotion,3,10,10,0,2.9,3.0,1.1005049346146119,1.0,5.0
mesugaki,negative_emotion,4,10,10,0,3.1,3.0,1.3703203194062976,0.0,5.0
mesugaki,negative_emotion,5,10,10,0,3.8,4.0,0.7888106377466154,3.0,5.0
mesugaki,negative_emotion,6,10,10,0,4.0,4.0,1.632993161855452,1.0,6.0
mesugaki,negative_emotion,7,10,10,0,3.9,4.0,1.728840330651992,0.0,6.0
mesugaki,negative_emotion,8,10,10,0,4.9,5.0,1.1972189997378648,3.0,6.0
mesugaki,negative_emotion,9,10,10,0,5.3,5.5,1.3374935098492586,4.0,8.0
mesugaki,negative_emotion,10,10,10,0,4.8,5.0,2.250925735484551,1.0,8.0
mesugaki,negative_emotion,11,10,10,0,5.7,6.0,1.2516655570345725,3.0,8.0
mesugaki,negative_emotion,12,10,10,0,5.5,5.0,1.6499158227686108,4.0,8.0
mesugaki,negative_emotion,13,10,10,0,5.8,6.0,2.043961295567452,1.0,8.0
mesugaki,negative_emotion,14,10,10,0,5.7,6.0,1.4181364924121764,3.0,8.0
mesugaki,negative_emotion,15,10,10,0,5.3,5.5,1.4181364924121764,3.0,7.0
mesugaki,frustration,1,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,frustration,2,10,10,0,0.7,0.0,1.0593499054713802,0.0,3.0
mesugaki,frustration,3,10,10,0,3.3,3.0,1.3374935098492586,1.0,6.0
mesugaki,frustration,4,10,10,0,3.5,4.0,1.6499158227686108,0.0,6.0
mesugaki,frustration,5,10,10,0,4.0,4.0,0.816496580927726,3.0,5.0
mesugaki,frustration,6,10,10,0,4.0,4.0,1.4907119849998598,1.0,6.0
mesugaki,frustration,7,10,10,0,4.3,4.0,1.766981104093143,0.0,6.0
mesugaki,frustration,8,10,10,0,4.9,5.0,0.9944289260117531,3.0,6.0
mesugaki,frustration,9,10,10,0,5.1,5.0,1.1005049346146119,4.0,7.0
mesugaki,frustration,10,10,10,0,5.1,5.0,2.0789954839350235,1.0,8.0
mesugaki,frustration,11,10,10,0,6.0,6.0,0.816496580927726,4.0,7.0
mesugaki,frustration,12,10,10,0,5.4,5.5,1.1737877907772674,4.0,7.0
mesugaki,frustration,13,10,10,0,6.1,6.0,1.728840330651992,2.0,8.0
mesugaki,frustration,14,10,10,0,5.8,6.0,0.9189365834726815,4.0,7.0
mesugaki,frustration,15,10,10,0,5.3,6.0,1.3374935098492586,3.0,7.0
mesugaki,self_deprecation_hopelessness,1,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,self_deprecation_hopelessness,2,10,10,0,0.2,0.0,0.4216370213557839,0.0,1.0
mesugaki,self_deprecation_hopelessness,3,10,10,0,1.6,1.0,1.505545305418162,0.0,4.0
mesugaki,self_deprecation_hopelessness,4,10,10,0,1.1,0.5,1.5951314818673865,0.0,5.0
mesugaki,self_deprecation_hopelessness,5,10,10,0,2.0,2.0,1.9436506316151,0.0,5.0
mesugaki,self_deprecation_hopelessness,6,10,10,0,2.6,2.0,2.3190036174568114,0.0,6.0
mesugaki,self_deprecation_hopelessness,7,10,10,0,2.5,2.5,1.7795130420052185,0.0,5.0
mesugaki,self_deprecation_hopelessness,8,10,10,0,3.9,3.5,2.024845673131659,1.0,7.0
mesugaki,self_deprecation_hopelessness,9,10,10,0,4.5,5.0,2.1213203435596424,2.0,8.0
mesugaki,self_deprecation_hopelessness,10,10,10,0,4.0,4.0,2.581988897471611,0.0,8.0
mesugaki,self_deprecation_hopelessness,11,10,10,0,5.3,5.5,1.5670212364724212,2.0,8.0
mesugaki,self_deprecation_hopelessness,12,10,10,0,4.8,4.5,2.6583202716502514,1.0,9.0
mesugaki,self_deprecation_hopelessness,13,10,10,0,5.0,5.0,2.6666666666666665,0.0,8.0
mesugaki,self_deprecation_hopelessness,14,10,10,0,5.0,5.5,2.160246899469287,0.0,8.0
mesugaki,self_deprecation_hopelessness,15,10,10,0,4.8,5.5,2.485513584307633,0.0,7.0
mesugaki,anger_reactance,1,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,anger_reactance,2,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,anger_reactance,3,10,10,0,0.1,0.0,0.31622776601683794,0.0,1.0
mesugaki,anger_reactance,4,10,10,0,0.1,0.0,0.31622776601683794,0.0,1.0
mesugaki,anger_reactance,5,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,anger_reactance,6,10,10,0,0.2,0.0,0.6324555320336759,0.0,2.0
mesugaki,anger_reactance,7,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,anger_reactance,8,10,10,0,0.1,0.0,0.31622776601683794,0.0,1.0
mesugaki,anger_reactance,9,10,10,0,0.4,0.0,0.9660917830792959,0.0,3.0
mesugaki,anger_reactance,10,10,10,0,0.3,0.0,0.6749485577105528,0.0,2.0
mesugaki,anger_reactance,11,10,10,0,0.2,0.0,0.4216370213557839,0.0,1.0
mesugaki,anger_reactance,12,10,10,0,0.4,0.0,0.9660917830792959,0.0,3.0
mesugaki,anger_reactance,13,10,10,0,0.4,0.0,0.5163977794943223,0.0,1.0
mesugaki,anger_reactance,14,10,10,0,0.5,0.0,0.7071067811865476,0.0,2.0
mesugaki,anger_reactance,15,10,10,0,0.1,0.0,0.31622776601683794,0.0,1.0
mesugaki,positive_affect_confidence,1,10,10,0,0.8,1.0,0.7888106377466154,0.0,2.0
mesugaki,positive_affect_confidence,2,10,10,0,2.1,2.0,0.9944289260117531,1.0,4.0
mesugaki,positive_affect_confidence,3,10,10,0,2.5,2.5,0.8498365855987975,1.0,4.0
mesugaki,positive_affect_confidence,4,10,10,0,2.9,3.0,1.1005049346146119,1.0,5.0
mesugaki,positive_affect_confidence,5,10,10,0,2.6,2.0,1.429840705968481,0.0,5.0
mesugaki,positive_affect_confidence,6,10,10,0,3.0,2.5,1.3333333333333333,2.0,6.0
mesugaki,positive_affect_confidence,7,10,10,0,2.2,2.0,0.6324555320336759,1.0,3.0
mesugaki,positive_affect_confidence,8,10,10,0,2.4,2.5,0.9660917830792959,1.0,4.0
mesugaki,positive_affect_confidence,9,10,10,0,2.7,3.0,1.4181364924121764,0.0,4.0
mesugaki,positive_affect_confidence,10,10,10,0,2.2,2.5,1.5491933384829668,0.0,5.0
mesugaki,positive_affect_confidence,11,10,10,0,1.7,2.0,0.9486832980505138,0.0,3.0
mesugaki,positive_affect_confidence,12,10,10,0,1.9,2.0,1.3703203194062976,0.0,4.0
mesugaki,positive_affect_confidence,13,10,10,0,1.5,1.0,1.8408935028645435,0.0,6.0
mesugaki,positive_affect_confidence,14,10,10,0,1.0,1.0,1.247219128924647,0.0,4.0
mesugaki,positive_affect_confidence,15,10,10,0,1.5,1.0,1.9002923751652299,0.0,6.0
gyaru,negative_emotion,1,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,negative_emotion,2,10,10,0,0.3,0.0,0.9486832980505138,0.0,3.0
gyaru,negative_emotion,3,10,10,0,0.7,0.0,1.4944341180973262,0.0,4.0
gyaru,negative_emotion,4,10,10,0,1.2,1.0,1.3165611772087666,0.0,3.0
gyaru,negative_emotion,5,10,10,0,1.8,1.5,1.8737959096740262,0.0,6.0
gyaru,negative_emotion,6,10,10,0,2.2,2.5,1.4757295747452437,0.0,4.0
gyaru,negative_emotion,7,10,10,0,3.6,3.5,1.2649110640673518,2.0,6.0
gyaru,negative_emotion,8,10,10,0,4.1,3.5,2.330951164939612,0.0,7.0
gyaru,negative_emotion,9,10,10,0,4.3,4.0,1.766981104093143,2.0,7.0
